year,month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,date
2004,7,210.29222204345848,92.75491571462375,45.40702297390969,406.1207058848072,74.22580035351885,153.39581526378623,156.15566018207738,427.2247656299066,307.3765193841478,335.1735333424201,415.20395666336213,571.1812166594589,224.93366328151077,45.250728675091544,103.0770241295413,414.30373880482847,315.82460986081225,170.61989634000815,296.6299126825829,247.92592335946526,760.3445019472376,138.29837568060563,231.27177368422633,765.8518841840905,161.53169638336956,555.5398278802008,167.92421836672656,222.01118393262462,543.9566071484297,95.84525921625011,232.44893240747663,119.90416480325118,365.6169939971211,112.45341781691263,204.51721162544698,742.5155252927531,353.7020766810642,599.3286808785491,71.72567176836824,93.21159343961911,314.95280084095714,765.6388723748651,481.7533843562666,514.6482034433102,477.80449937307753,774.1695536045685,422.5910239688164,69.20179927433308,213.37975992571174,270.8418384618564,2004-07-11
2004,8,97.5224661668483,95.01873664921987,76.07699192266844,595.1948216565138,79.83648854549216,280.85084086472773,166.57539503742893,495.400279454471,322.91277255616296,270.18955931056536,374.7529751687474,611.3109604583798,177.67368170906954,41.320776601383116,136.65385766266607,475.02407370852114,345.54014756228554,144.32683645099138,377.7923530740721,282.0806529045186,831.2991982303564,194.29742002019933,203.83082029079014,703.0041102136295,184.56593392623324,465.4256188590049,195.1818094250397,178.80568809484978,504.0198195452654,102.71852641013311,198.9442524521542,148.1187572576476,360.9422802535731,121.66755969378907,148.1591679877275,652.2461258192963,285.95280549976434,533.1302576166418,88.98182896914135,99.5058007605795,324.6431557647847,728.5281034744929,470.5063560624876,521.5248717753194,505.59839663348174,717.5286181773939,395.45683167391434,72.4354815670979,206.8460084099785,301.6602930013622,2004-08-11
2004,9,155.6629293268079,135.35469464559625,79.67454364431862,734.169053247087,91.34757553175929,198.33547470906595,161.2716024366557,468.40172372045095,393.11611250372584,265.6645324694533,396.41939558480914,714.9022634368251,134.04922183551508,53.89296609898303,147.12320629006447,489.8811728701361,544.4548691929489,206.6083074207876,751.2911477839334,252.59618737016618,1014.7841462133157,205.56904116332908,223.5594605903175,839.7295805565375,133.25427563556215,631.5911822851882,372.2495834428164,259.4737581949354,653.0895205071279,132.11657827793312,253.2695074897966,133.70687708152028,417.1779821569726,166.93388056335135,230.5960061347989,818.7729737291517,400.4220830880448,679.8370312712613,89.38346453687988,91.81091810494061,405.14603079468566,830.5274430456598,507.07415220916704,584.1412189017975,546.4313558454367,870.3847570087372,451.72388690884077,99.27612558307828,293.13517382701104,341.2053696809902,2004-09-11
2004,10,204.25402273494947,188.576323420681,127.96087663807296,561.650483802513,119.07839003736306,185.56095043442056,227.23440244334958,549.3154350860677,365.9994255991403,296.0652840718186,444.6211081344497,855.6914202265541,181.821194286134,110.85340396480032,167.68985384784702,431.15807650297927,461.4626550442167,369.65626381938574,397.8481055071838,322.43338452629536,880.9917313205528,215.47607331078214,282.05844302564213,966.5209949701409,204.0583686415046,649.0212205192362,329.47663312438704,335.07846102801244,608.0906256972501,149.42942921876474,333.12829635906076,141.019017039366,508.3627343003191,188.10135297601988,276.0791646025421,888.2059931720293,491.8772319962078,801.8245907775873,99.34800756844677,101.1187533411737,486.9787228736178,949.4145870251816,691.3991257465641,617.8062567008246,544.2125091503943,924.3750822240835,565.0591273759393,79.16358834499262,256.6852108934171,366.2686161014706,2004-010-11
2004,11,195.39002451701836,162.75599155514382,125.62185119894107,561.8230769945765,132.50431899595586,208.0997756326663,255.26625353536974,506.71650485250666,360.36898270636567,374.0791408410464,470.7174919469995,899.7592791648252,176.25902034988977,336.22377712884054,167.83212129504838,458.7531429043046,455.19226526430936,610.5579476958551,369.2969455108864,368.91252295857385,932.1617547234312,219.79742132421325,313.9825203016728,1149.052665222378,143.55297417351792,693.5816512995157,274.84160862271983,444.35047467563766,605.0112508766994,236.418272905698,284.80617843892156,166.22171218605408,559.9043624356646,139.24148354768897,246.51195738817768,1044.0129500880605,549.3072667056357,863.369488063422,124.47775283379451,105.33685737490258,643.8020633821011,1096.8625864496548,737.0511416214364,664.6490994485057,631.6448782419861,1117.1574587798914,673.4958911240929,98.15151905524678,280.6273261568587,435.1524086934938,2004-011-11
2004,12,155.08373952616057,178.24802627618385,111.22910881632085,461.9208834276383,123.06666098713437,173.34693638675256,214.28589785711458,406.8831281962135,334.0442019725646,414.6842900453332,514.6466014650542,793.1265688076362,245.41123821043962,301.4845173194467,154.91271932167746,348.431483048221,363.2057547594529,492.2121431790418,286.1312359286816,415.0876576115717,891.4606620662995,192.11032266327328,279.9585928141614,980.9911476273587,162.24303924986953,668.0617233007542,264.3850427270936,374.2004045682233,585.4722267595802,142.17985544319026,241.14480616985807,185.4933480481802,539.9460707119104,176.19132048569386,254.3927263789452,922.5667547714818,458.02160123248433,781.2138999384786,92.83175807879721,118.85873852340444,533.4159977153816,980.7868368830085,731.7701248471682,637.2695677594058,542.4839628197018,1010.1852098407616,719.0297545405657,106.01556323121054,246.0232592183337,397.34266025999693,2004-012-11
2005,1,145.94969980385312,134.10139555236518,98.44521260643127,577.4018838617993,115.21199603963942,166.00582408976658,217.52316377158252,450.38610452328527,321.18668603057085,324.7810379754392,520.1169238509183,763.7907937220319,150.2406501263702,139.17737405940983,151.9504434155139,431.54936300858475,317.2181449300405,322.8305741277581,336.0752112657286,282.52324259440167,756.3214809876303,192.86767808171217,252.69278794853668,883.4896295563271,130.22749226787792,579.2991266273408,239.11309612045162,301.30287951275375,524.0135675657572,188.32235148841556,237.13274005745063,246.4555311934323,499.7338659190686,123.89812783546131,232.27106124905697,861.9012973883454,426.14393918288704,711.1634422351495,108.79564300572663,130.1219423398638,506.560526003374,917.5420236419949,636.7006463725949,569.5827134306647,566.5255159200588,910.4904857599764,685.7719477481367,94.5192446738499,244.60568139497383,393.9538969340146,2005-01-11
2005,2,143.7651097499922,179.81635140049252,121.12657220965993,551.782066984784,166.57261620590168,164.6346271298985,219.53805028777612,472.0185356985619,430.48577061713445,351.28204807577885,536.6512882756217,782.7587628897771,223.02264409630484,149.7527387583719,179.11657944913506,499.1313780479095,421.09090837060285,327.0791656572223,350.9779701534142,387.3019741006598,899.0721907165727,260.65588547120035,293.25092954768263,1082.0820822344342,142.0504775250737,692.8678220193793,269.0675064986185,409.0968746336787,616.6674206810588,181.4407208191035,246.3700499474895,172.37446283010937,668.7081207986735,184.45728804955147,237.92152774457244,1054.918937619057,502.9007254428359,929.0977197963579,121.61021289783892,151.2055766582208,623.1848291585454,1132.0338792966222,795.0691826215345,686.5399828840281,718.9635799506485,1016.9940333048237,811.0835485265296,92.38466819226173,261.9232117916475,451.57307952536246,2005-02-11
2005,3,172.92410118518964,183.06271394963974,140.29166194664285,584.3459464563551,134.23105959824565,204.14110874045892,242.0640449878297,407.39802380814047,537.1419607349144,440.7550875779957,535.8046759952367,754.6819215693159,220.30276348177176,209.03401294118646,213.0192680145003,484.87197372995786,464.2263449253412,377.1266911511075,418.62580134279204,433.440430451268,1103.3424244986609,273.76401597424564,309.3624546457505,1151.525129593914,147.94572608848873,830.3351323626569,310.35743993827884,467.81980644860386,749.7540627500177,279.36917222785553,284.53678555944794,165.3990978908617,694.4031846604524,199.370485180335,254.2775440195357,1191.2144953706272,557.3641297176276,966.3003434644413,139.61300962193198,208.56228953580523,626.6721182569581,1207.2748486582664,829.4940327609734,787.2811728812648,699.643486163777,1174.6348568741964,763.799914322446,106.47013661514168,299.52285512125866,440.78476997086085,2005-03-11
2005,4,159.46114746334277,148.36343954418416,113.65016174120831,549.9234513229899,131.7365455886516,200.84889508799685,280.0351114429092,375.45603980215617,483.84377714374637,387.56591775663674,552.2796285092576,768.5065548108845,209.40950776756205,200.39258275476837,336.46520573391996,476.9034517500549,470.90761258943024,332.12536832360644,311.2916410610715,432.678556221784,1073.326607330524,291.4659863616526,321.73866924048315,1110.9378347110705,170.5831330854521,831.5200763787858,307.7100034352863,402.21187627586283,644.7728270208914,258.19370369015337,232.35856827495172,163.95129512867308,699.649198863962,200.89698252549888,218.44124134775626,1134.1536823660763,534.7386320880831,913.7678856196778,161.75017632881162,192.48757631911846,570.7498603339667,1109.8364515922826,828.9009936856651,747.0221055650458,642.1511012775242,1123.535855562515,767.2046453062818,105.58374906856058,278.92107992898616,484.4263183804006,2005-04-11
