full_name,frequency
бельгиец,9
николай усков,9
игорь мосийчук,9
гарри кейн,9
себастьян курец,9
гарри поттер,9
стефани клиффорд,9
униана,9
билл гейтс,9
дональд тускнуть,9
владислав третьяк,9
николай старостин,9
уругвай,9
пхеньян,9
спасатель,9
натали турс,9
саджид джавид,9
джозеф тревитик,9
леонид михельсон,9
оппозиционер,9
рептилия,9
константин кобзарь,9
навальный олег,9
екатерина мцитуридзе,9
илона,9
геннадий тимченко,9
псж неймара,9
илья ковальчук,9
саша,9
филарет,9
сергей шнуров,9
владимир воробьев,9
минэкономразвития,9
майкл джексон,9
дэйв маджумдар,9
черчёс,9
эда ширан,9
карен карапетян,9
юрий семин,9
георгий тук,9
майкл коэн,9
зоозащитник,9
люк бессон,9
наум коржавино,9
тупак шакура,9
артист,9
роман терюшковы,9
эден азар,9
роуз макгоуэн,9
алин,9
эльвира набиуллин,9
никол пашинян,9
врач,9
ен чхолить,9
челси дейви,9
фред,9
александр ткачев,9
игга азалия,9
мария гайдар,9
аль сауд,9
анастасий брызгалов,9
президент,9
сергей тутмин,9
адвокат,9
израиль,9
егор борис,9
реджеп тайип,9
сергей цивилев,9
ен чхан,9
аркадия ротенберг,9
андрей крищенко,9
рогать,9
ретейлера,9
свидетель,9
алексей улюкаева,8
вадим рабин,8
тони,8
нетта барзилай,8
мохаммед салах,8
омбудсмен,8
питон,8
владимир соловьев,8
илья трунина,8
мохамед салах,8
сергей иванов,8
возмутиться,8
гарета саутгейт,8
степан полторак,8
леонид кантереть,8
даля грибаускать,8
денис лопатин,8
оперативник,8
далай,8
энтони хопкинс,8
крис,8
михаил максименко,8
питер,8
рональд рейган,8
антон геращенко,8
китаянка,8
ник кейв,8
ван рой,8
юрий колокольник,8
евгений дитрих,8
сильвио берлускони,8
гонсалес теран,8
бразилец,8
владимир вятрович,8
александр емельяненко,8
джон оливер,8
дмитрий гудков,8
гордон,8
тайипа эрдогана,8
джон бреннана,8
максим,8
нурсултан назарбаев,8
зидать,8
лаша шушанашвили,8
хулить лопетег,8
карина цуркан,8
георгий,8
валерий фёдоров,8
владимир гройсмана,8
минтруд,8
марио манджукич,8
джим бэккер,8
наваз шариф,8
анатолий собчак,8
мустафа джемилеть,8
константин килимник,8
поль погб,8
анджей дуда,8
алекс лести,8
луис суарес,8
арнольд шварценеггер,8
выяснить,8
жомарт ертаев,8
джулиан ассанж,8
арсен венгера,8
кейт спейд,8
анна,8
законодатель,8
павел жебривский,8
джордж сорос,8
дипмиссия,8
замминистра,8
джордж,8
павел дацюк,8
павел грудинин,8
миллиардер,8
паоло герреро,8
дмитрий смирнов,8
карим бензём,8
уитня хьюстон,8
джей,8
григорий терентьев,8
напомнить,8
ванесса трамп,8
поделиться,8
джемма коллинза,8
роман абрам,8
майк,8
григорий пирумов,8
татьяна,8
софия ресинга,8
пётр,8
трансгендёр,8
николас мадурый,8
майк пенс,8
джердать шакири,8
пенсионер,8
сергей чемезов,8
владимир рубаном,8
яир родригес,8
наоми кэмпбелла,8
василий коновый,8
григорий лепс,8
владимир потанин,8
рафаэль надаль,8
владимир кожин,8
магнитский,8
московский,7
марка фейгин,7
посетовать,7
подытожить,7
информатор,7
дарья касаткин,7
трамп раскритиковать,7
андерс бессеберг,7
молотов,7
молодожён,7
том рогана,7
румный радеть,7
ветеринар,7
лолита милявский,7
андрей лунина,7
муамар каддафи,7
себастьян темпон,7
кевин спейся,7
наталья немчинов,7
настя,7
андрей исаев,7
полый манафорт,7
мурат ахеджак,7
андрей измайлов,7
резюмировать,7
уэссекский софи,7
салим мухамедьянов,7
лориса кариуса,7
андрей попов,7
мартин триппа,7
испанец,7
ирина яровой,7
поклонница,7
руслан,7
карл лагерфельд,7
сальма хайка,7
матеуш моравецкий,7
плата,7
питомец,7
анджела райт,7
морган фримя,7
семя слепаков,7
андрей коболеть,7
лю гоцин,7
валентин ривер,7
роналдый,7
кабмина,7
михаил федот,7
амик норкин,7
рустам танкай,7
эдуард лимонов,7
хизер нойерт,7
рамадан,7
согласовать,7
дмитрий губерний,7
дмитрий киселев,7
сергей стаховский,7
юрий томошевский,7
педро санчёс,7
оштрафовать,7
владимир маяковский,7
александр хуг,7
апу нахасапимапетилон,7
игорь денисов,7
шакро,7
александр шестун,7
яго аспас,7
александр яковенко,7
игорь конашенков,7
сообщник,7
олег петренко,7
пэтти дэвис,7
мадридец,7
джасея дуэйный,7
олег табаков,7
алексей гордеев,7
сотрудница,7
эрдогать,7
евдоким,7
борис клюев,7
александр розенбаум,7
иван моисеев,7
сергей мазур,7
пациентка,7
кубок стэнли,7
джон кеннеди,7
юрий,7
джонсон,7
синд майлз,7
брендать тая,7
джордж буш,7
райан о'райли,7
шерлок холмс,7
юлия скрипаль,7
сша дональд,7
овечкин анастасий,7
цска алексей,7
тамара плетнёв,7
аркадий,7
златко далич,7
джо перри,7
кэрри фишер,7
александр кудрин,7
зураб аласания,7
скрипалить виктория,7
владимир гутенев,7
диана,7
роберт дауни,7
алекс,7
александр новиков,7
линас линкявичюс,7
депутат,7
филипп коутиньо,7
дейва инч,7
бонд,7
илья мэддисон,7
девушка,7
ольга васильев,7
дональд,7
дэвид дэвис,7
шарлотта генсбур,7
петра,7
бен ладен,7
осман пашаев,7
янукович живьём,7
евгений кузнецов,7
ален попов,7
отравить,7
шура,7
крис браун,7
спецпредставитель,7
михаил мишустин,7
рикко гросс,7
илья яшин,7
людмила,7
богдан тиводар,7
алексей моисеев,7
виктор ануфриев,7
федора челышев,7
никита колесников,7
опросить,7
хавьер маскерано,7
анджела дэвис,6
уилбур росс,6
ди уильямс,6
улюкаева,6
уизлить,6
вялковы,6
кембриджский кейт,6
аслан алборов,6
юрий котлера,6
дрон,6
жерар депардие,6
дуглас коста,6
женя,6
алекс вавилов,6
ахмед муса,6
макаров,6
мэри крэмптон,6
марь трэн,6
цска,6
сыграть,6
юрген клоппа,6
эдвард,6
станислав сергей,6
владимир балух,6
эдуард лимоновый,6
андрей слепнев,6
каталонский,6
александр волков,6
андрей ростенко,6
барби,6
александр боровой,6
уго чавес,6
ахмед узюмджю,6
галина марчукова,6
андрей сова,6
глеб голубиный,6
хулёный лопетег,6
хамзат азим,6
дэвид гудоллар,6
леонид кравченко,6
микроблогер,6
билл гросс,6
флойд мэйуэзер,6
франсиско франко,6
сунита уильямс,6
стэн,6
салах,6
барон коэн,6
дмитрий хахалеть,6
франц клинц,6
дмитрия,6
геннадий москаль,6
уинслет раскритиковать,6
андрей литвинов,6
ле пена,6
эдинсон кавани,6
мегана фокс,6
лиз хаслам,6
виктор муженко,6
олег треповский,6
дмитрия песков,6
генерал,6
виктор черномырдин,6
адам,6
агрессор,6
олег чалыко,6
артём шейнин,6
эколог,6
кирилл каприз,6
гвинуть,6
левко лукьяненко,6
гарри трумэн,6
минздрав,6
стефа блок,6
генпрокурор,6
бразилия роналдый,6
евгений,6
октара,6
бразилия роналдиньо,6
андрей бабиш,6
лорд,6
валерий рашкина,6
елена одновол,6
сожитель,6
дмитрий кобылкин,6
елена меньшиков,6
юрий трутнеть,6
евгений васильев,6
юрий чайка,6
прокурор,6
придумать,6
маск,6
генсек,6
мухаррем инджа,6
андрей данилко,6
мамонт,6
виктория маккрэ,6
вероника скворцовый,6
артур иванов,6
виктория бекхэма,6
бритни спирс,6
джеймс глив,6
хлой кардашьян,6
эми полера,6
сергей князев,6
демонстрант,6
владимир машков,6
фетхуллах гюлена,6
фигурант,6
людмила улицкий,6
мишель вульф,6
владимир лысейко,6
роман,6
тренд,6
сенатор,6
ирина круг,6
антон миранчук,6
ирина коровин,6
нетта,6
светлана лобод,6
чарльз,6
рамаз дзнеладзе,6
марка,6
ирина волк,6
джереми хант,6
южноамериканец,6
брэд маршанда,6
джек,6
марка цукерберг,6
мария алехин,6
джейсон феликс,6
роман нойштедтер,6
селина диона,6
терри крюс,6
игорь холманский,6
роман романов,6
николай ватутин,6
алексей гуськов,6
тиаго силва,6
игорь смольник,6
изольда высоцкий,6
бенитый муссолини,6
энтони джошуа,6
аль насири,6
игорь лебедев,6
рейнолдс фишер,6
гурбангул бердымухамедов,6
александр шульгин,6
антон черняк,6
алексей рогозин,6
николай соболев,6
сидень кугульер,6
порошенко,6
алексей сазан,6
ирина,6
пашинян,6
федора,6
анатолий антонов,6
серж дассо,6
талия,6
нурмагомед,6
сергей аксен,6
вциома,6
джозеф джексон,6
аркадий дворк,6
сесилия мальмстрёма,6
госкомпания,6
дарья стариков,6
константин сивко,6
иосиф пригожин,6
юлия чичерин,6
александр иншак,6
тайлера рогуэй,6
маркос рохо,6
михаил прохоров,6
прохожий,6
выбежать,6
вадим субботина,6
александр зубков,6
уэйт келлер,6
белых этапировать,6
де брюйн,6
сергей безруков,6
наджиб разак,6
талиб,6
анатолий аксаков,6
иван бубенчик,6
иван дремин,6
ниро обматерить,6
алл пугачев,6
джефф безоса,6
криптовалюта,6
александр невский,6
эмманюэль макрон,6
сергей наесть,6
пирс морган,6
томас марклый,6
патрисия буллрич,6
джимми киммел,6
грант,6
майкл карри,6
антон ярошина,5
мегана,5
владимир солнцев,5
редьярд киплинга,5
москвичка,5
антон лавров,5
аслан гагий,5
шафорост заподозрить,5
михаил ланина,5
лондон,5
роман полански,5
лидер,5
крис андерсон,5
волков,5
шамиль басаев,5
лейс антело,5
римский климент,5
литр,5
ант ребич,5
роналда,5
рекс тиллерсон,5
ванда вилкомирской,5
антон заболотный,5
рорь смит,5
фетхуллах гюлен,5
михая,5
