city|description
Агро́поли| Италия, обл. Кампания
Агры́| Турция, см. Кара́кёсе
Агры́| иль, Турция
А́гто| о., Девисов прол., о. Гренландия
Агу́| р., лев. приток р. Тарн; Франция
Агуади́лья| Большие Антильские о-ва, о. Пуэрто-Рико
А́гуа-Прие́та| Мексика, шт. Сонора
Агуаскалье́нтес| Мексика, адм. центр шт. Агуаскальентес
Агуаскалье́нтес| шт., Мексика
Агу́до| Испания, пров. Сьюдад-Реаль
Агу́льяс| котл., Индийский океан, см. Мы́са Иго́льного, котл.
Агу́льяс| м., ЮАР, см. Иго́льный, м.
Агу́льяс-Не́грас (Итатиа́я)| г., выс. 2787 м, горы Серра-Мантикейра; Бразилия
А́гунг| влк., выс. 3142 м; Индонезия, о. Бали
А́гуни| о., Тихий океан, о-ва Рюкю (Нансей); Япония
Агу́сан| р., впадает в море Бохоль, о. Минданао; Филиппины
Агуэ́| Бенин
Агуэ́ро| Испания, пров. Уэска
Агья́| Греция, см. Айя́
А́да| Гана
А́да| Югославия, Социалистическая Республика Сербия
А́дак| о., Тихий океан, Алеутские о-ва; США
А́дак| прол., Тихий океан; Алеутские о-ва, между о-вами Адак и Канага
Ада́ле| Сомали
А́дама| Эфиопия, см. Назре́т (Адама́)
Адаманти́на| Бразилия, шт. Сан-Паулу
Адамкли́си| Румыния, уезд Констанца
А́дамов| Чехословакия, Южно-Моравская обл.
Ада́мов Мост| цепь скал, банок и песчаных отмелей, между Индией и Шри-Ланкой
А́дамс| США, шт. Нью-Йорк
А́дамс| г., выс. 3751 м, Каскадные горы; США
А́дамстаун| адм. центр о. Питкэрн; влад. Великобритании
А́дана| Турция, адм. центр иля Адана
А́дана| иль, Турция
Ада́пазары́| Турция, адм. центр иля Сакарья
Адауэ́ска| Испания, пров. Уэска
Адаха́| р., лев. приток р. Дуэро; Испания
Адва́нс| ЮАР, Капская пров.
А́дда| р., лев. приток р. По; Италия
Адди́-Грат| Эфиопия, пров. Тыграй
Адди́с-Абе́ба| столица Эфиопии
Адди́-У́гри| Эфиопия, пров. Эритрея
Аделаи́да| Австралия, адм. центр шт. Южная Австралия
А́делейд| ЮАР, Капская пров.
А́делейд| о., у зап. побережья Антарктического п-ова; Антарктика
А́делейд| п-ов, сев. побережье Канады
Адему́с| Испания, пров. Валенсия
А́ден| столица НДРЙ
А́денский зали́в| Аравийское море, между п-овами Аравийским и Сомали
А́джана| Австралия, шт. Западная Австралия
Аджда́бия| Ливия
Аджеда́бья| Ливия, см. Аджда́бия
Аджлу́н| лива, Иордания, см. И́рбид, мухафаза
Аджма́н| ОАЭ, адм. центр эмирата Аджман
Аджма́н| эмират, ОАЭ
Аджме́р| Индия, шт. Раджастхан
Аджу́д| Румыния, уезд Вранча
Аджы́пая́м| Турция, иль Денизли
Адзига́сава| Япония, преф. Аомори, о. Хонсю
А́диграт| Эфиопия, см. Адди́-Грат
А́дидже| р., впадает в Венецианский зал. Адриатического моря; Италия
Адилаба́д| Индия, шт. Андхра-Прадеш
Ади́льджева́з| Турция, иль Битлис
Адиро́ндак| горы, США
А́ди-У́гри| Эфиопия, см. А́дди-У́гри
Адмиралте́йства| зал., Тиморское море; сев.-зап. побережье Австралии
Адмиралте́йства| о-ва, Тихий океан, арх. Бисмарка; Папуа-Новая Гвинея
А́дмиралти| горы, Земля Виктории; Антарктида
А́дмиралти| зал., Северный Ледовитый океан, сев. побережье о. Баффинова Земля; Канада
А́дмиралти| о., Тихий океан, арх. Александра; США
Адмира́л-Це́нкер| подв. г., Атлантический океан, к юго-вост. от о-вов Тристан-да-Кунья
Адона́ра| о., Малые Зондские о-ва; Индонезия
Адо́ни| Индия, шт. Андхра-Прадеш
А́донь| Венгрия, медье Фейер
А́дра| Испания, пров. Альмерия
Адра́но| Италия, обл. Сицилия
Адра́р| Алжир, адм. центр вилайета Адрар
Адра́р| вилайет, Алжир
Адра́р| плато, Мавритания
Адра́р-Ифора́с| плато, Мали
Адраска́н| р., Афганистан, см. Харутру́д, р.
Адриати́ческое мо́ре| часть Средиземного моря; между Апеннинским и Балканским п-овами
А́дрия| Италия, обл. Венеция
А́дуа| Эфиопия, пров. Тыграй
А́дува| Эфиопия, см. А́дуа
А́дуна́ра| о., Индонезия, см. Адона́ра, о.
Аду́р| р., впадает в Бискайский зал. Атлантического океана; Франция
Адыяма́н| Турция, адм. центр иля Адыяман
Адыяма́н| иль, Турция
Адэ́р| м., сев.-вост. оконечность Земли Виктории; Антарктида
Ае́рбе| Испания, пров. Уэска
А́ер-И́там| Малайзия, шт. Пулау-Пинанг, см. А́ир-Хи́там
Аже́н| Франция, адм. центр деп. Ло и Гаронна
Ажетмо́| Франция, деп. Ланды
Аза́зга| Алжир
Азамбу́жа| Португалия, пров. Рибатежу
Азби́н| плато, Нигер, см. Аи́р (Азби́н), плато
Азбру́к| Франция, деп. Нор
Аземму́р| Марокко
Азербайджа́н| ист. обл., Иран
Азерше́хр| Иран, остан Восточный Азербайджан
Азиа́го| Италия, обл. Венеция
Азизи́я| Ирак, см. Эль-Азизи́я
Азила́ль| Марокко, адм. центр пров. Азилаль
Азила́ль| пров., Марокко
Азина́ра| зал., о. Сардиния, см. Асина́ра, зал.
Азина́ра| о., Италия, см. Асина́ра, о.
А́зия| о-ва, Тихий океан, к сев. от о. Вайгео; Индонезия
А́зия| часть света, вост. часть материка Евразия
Азма́к| р., Болгария, см. Мочу́рица, р.
А́зо| р., впадает в Адриатическое море; Италия
Азо́рские острова́| Атлантический океан; Португалия
Азу́га| Румыния, уезд Прахова
Аиджа́л| Индия, адм. центр союзной тер. Мизорам
Аи́дзувакама́цу| Япония, преф. Фукусима, о. Хонсю
А́илат-эль-Джуда́йид| к., Ливия, см. А́йлет-эль-Джеде́йд, к.
А́илингла́палап| ат., Тихий океан, Маршалловы о-ва; опека США
А́илук (Крузенште́рна)| ат., Тихий океан, Маршалловы о-ва; опека США
Аио́и| Япония, преф. Хиого, о. Хонсю
Аи́р (Азби́н)| плато, Нигер
А́ир-Хи́там| Малайзия, шт. Пулау-Пинанг, о. Пинанг
Аитута́ки| о., Тихий океан, о-ва Кука; влад. Новой Зеландии
Айа́нж| Франция, деп. Мозель
Айба́к| Афганистан, адм. центр пров. Саманган
Айваджы́к| Турция, иль Чанаккале
Айвалы́к| Турция, иль Балыкесир
А́йванхо| Австралия, шт. Новый Южный Уэльс
А́йген-им-Мю́лькрайс| Австрия, земля Верхняя Австрия
Айгу́нь| Китай, пров. Хэйлунцзян
Айгуньцу́нь| Китай, см. Айгу́нь
А́йдахо| шт., США
А́йдахо-Фолс| США, шт. Айдахо
А́йддеяврре| Норвегия, фюльке Финнмарк
А́йдемир| Болгария, Силистренский окр.
А́йдер| р., впадает в Северное море; ФРГ
А́йдовшчина| Югославия, Социалистическая Республика Словения
А́йдос| г., выс. 3488 м, горы Центральный Тавр; Турция
А́йдсволд| Австралия, шт. Квинсленд
Айды́н| Турция, адм. центр иля Айдын
Айды́н| иль, Турция
Айды́н| хр., Турция
Айдынджы́к| Турция, иль Ичель
Айдынкё́ль| оз., Китай, Синьцзян-Уйгурский авт. р-н
А́йелсон| США, шт. Аляска
А́йзак| р., лев. приток р. Маккензи; Австралия
А́йзенах| ГДР, окр. Эрфурт
А́йзенберг| ГДР, окр. Гера
А́йзенкаппель| Австрия, земля Каринтия
А́йзенхюттенштадт| ГДР, окр. Франкфурт
А́йзенштадт| Австрия, адм. центр земли Бургенланд
А́йзенэрц| Австрия, земля Штирия
А́йи-Де́ка| Греция, ном Ираклион, о. Крит
Айи́я-Ру́мели| Греция, ном Ханья, о. Крит
Айи́я-Эффими́я| Греция, ном Кефалиния, о. Кефалиния
А́йка| Венгрия, медье Веспрем
Айки́ле| Боливия, деп. Кочабамба
Айлаоша́нь| хр., Китай
А́йлей| о., Атлантический океан, Внутренние Гебридские о-ва; Великобритания
А́йленбург| ГДР, окр. Лейпциг
А́йленд| оз., Канада, пров. Манитоба
А́йленд-Лейк| Канада, пров. Манитоба
А́йлет-эль-Джеде́йд| к., Ливия
Айл-оф-Уа́йт| граф., Великобритания, Англия, о. Уайт
Айл-Ро́йал| о., США, оз. Верхнее
Айльо́н| Испания, пров. Сеговия
Айна́бо| Сомали
Айн-Бе́йда| Алжир
А́йнбек| ФРГ, земля Нижняя Саксония
Айн-Галакка́| Чад
Айн-Да́ва| к., Ливия, см. Эль-Газа́ль, к.
Айн-Дар| Саудовская Аравия
Айн-За́ла| Ирак
Айн-Сала́х| Алжир, см. Ин-Сала́х
Айн-Сефра́| Алжир
А́йнсли| р., прав. приток р. Гилберт; Австралия
Айн-эль-Хейс| Египет, см. Эль-Хейз
А́йова| р., прав. приток р. Миссисипи; США
А́йова| шт., США
Айо́на| о., Атлантический океан, Внутренние Гебридские о-ва; Великобритания
А́йон-О́рос| ном, Греция, обл. Македония
А́йон-О́рос| п-ов, сев.-вост. побережье Греции, между заливами Иерисос и Сингитикос
