city|description
Ма́слен-Нос| м., сев.-вост. побережье Балканского п-ова; Болгария
Ма́словаре| Югославия, Социалистическая Республика Босния и Герцеговина
Ма́сса| Италия, обл. Тоскана
Масса́ва| Эфиопия, см. Масса́уа
Ма́сса-Мари́ттима| Италия, обл. Тоскана
Масса́уа| Эфиопия, пров. Эритрея
Масса́фра| Италия, обл. Апулия
Массачу́сетс| зал., Атлантический океан, сев.-вост. побережье США
Массачу́сетс| шт., США
Ма́сселборо| Великобритания, Шотландия, обл. Лотиан
Ма́сселшелл| р., прав. приток р. Миссури; США
Ма́ссет| Канада, пров. Британская Колумбия
Масси́на| США, шт. Нью-Йорк
Ма́ссон| купол, шельф. ледн. Шеклтона; Антарктида
Ма́стертон| Новая Зеландия, о. Северный
Масту́дж| Пакистан, Северо-Западная Пограничная пров.
Масту́нг| Пакистан, пров. Белуджистан
Масуа́ла| м., сев.-вост. побережье о. Мадагаскар; Мадагаскар
Масу́да| Япония, преф. Симане, о. Хонсю
Ма́суэлбрук| Австралия, шт. Новый Южный Уэльс
Масхику́| г., выс. 3398 м, горы Кумун; Бирма
Масья́к| Франция, деп. Канталь
Масья́ф| Сирия
Мат| о., зал. Бакбо (Тонкинский) Южно-Китайского моря, у вост. побережья Вьетнама
Мата́| Франция, деп. Приморская Шаранта
Матава́ну| влк., выс. 582 м, о. Савайи; Западное Самоа
Матага́льпа| Никарагуа, адм. центр деп. Матагальпа
Матага́льпа| деп., Никарагуа
Мата́ди| Заир, адм. центр обл. Нижний Заир
Матаи́ва (Ла́зарева)| ат., Тихий океан, о-ва Туамоту; Французская Полинезия
Матайго́у| Китай, Нинся-Хуэйский авт. р-н
Ма́так| о., Южно-Китайское море, о-ва Анамбас; Индонезия
Матаки́то| р., впадает в Тихий океан; Чили
Маталебре́рас| Испания, пров. Сория
Мата́м| Сенегал
Матамо́рос| Мексика, шт. Тамаулипас
Матамо́рос| Мексика, шт. Пуэбла, см. Ису́кар-де-Матамо́рос
Матаморо́са| Испания, пров. Кантабрия
Мата́н| Канада, пров. Квебек
Мата́нсас| Куба, адм. центр пров. Матансас
Мата́нсас| пров., Куба
Матану́ска| США, шт. Аляска
Матапа́н| м., Греция, см. Те́нарон, м.
Ма́тара| Шри-Ланка
Мата́рам| Индонезия, адм. центр пров. Западная Нуса-Тенгара, о. Ломбок
Матара́нка| Австралия, Северная тер.
Матаро́| Испания, пров. Барселона
Мататие́ле| ЮАР, Капская пров.
Матаче́ль| р., лев. приток р. Гвадиана; Испания
Матё́р| Тунис, см. Ма́тир
Мате́ра| Италия, обл. Базиликата
Ма́тесалька| Венгрия, медье Сабольч-Сатмар
Матеуа́ла| Мексика, шт. Сан-Луис-Потоси
Ма́ти| Филиппины, о. Минданао
Ма́ти| р., впадает в Дринский зал. Адриатического моря; Албания
Ма́ти| рети, Албания
Матиньо́н| Франция, деп. Кот-дю-Нор
Ма́тир| Тунис
Ма́тлок| Великобритания, Англия, адм. центр граф. Дербишир
Ма́то| Заир
Матози́ньюш| Португалия, пров. Дору-Литорал
Мато́у| Китай, Гуанси-Чжуанский авт. р-н
Ма́тра| горы, Венгрия
Матра́ки| о., Ионические о-ва, см. Самотра́ки, о.
Матру́х| Египет, см. Ме́рса-Матру́х
Матру́х| мухафаза, Египет
Маттаво́мкег| США, шт. Мэн
Маттага́ми| оз., Канада, пров. Квебек
Маттага́ми| р., сливаясь с р. Миссинайби, образует р. Мус; Канада
Маттанге́ри| Индия, шт. Керала
Ма́ттерхорн| г., выс. 3304 м, Пеннинские Альпы; на границе Швейцарии и Италии
Матту́н| США, шт. Иллинойс
Мату́а| Индонезия, пров. Центральный Калимантан, о. Калимантан
Ма́ту-Гро́су| Бразилия, шт. Мату-Гросу
Ма́ту-Гро́су| плскг., Бразилия
Ма́ту-Гро́су| шт., Бразилия
Ма́ту-Гро́су-ду-Сул| шт., Бразилия
Мату́н| Афганистан, см. Хост (Мату́н)
Матури́н| Венесуэла, адм. центр шт. Монагас
Ма́тхура| Индия, шт. Уттар-Прадеш
Ма́тью| о., Тихий океан, к вост. от о. Новая Каледония; влад. Франции
Ма́тя| р., Албания, см. Ма́ти, р.
Ма́у| Индия, шт. Уттар-Прадеш
Мауби́н| Бирма, адм. обл. Иравади
Ма́уи| о., Тихий океан, Гавайские о-ва; США
Ма́уле| обл., Чили
Ма́уле| р., впадает в Тихий океан; Чили
Мауме́ре| Индонезия, пров. Восточная Нуса-Тенгара, о. Флорес
Мау́н| Ботсвана
Ма́ун| о., Адриатическое море; Югославия
Ма́уна-Ке́а| г., выс. 4205 м, Гавайские о-ва, о. Гавайи; США
Ма́уна-Ло́а| влк., выс. 4170 м, Гавайские о-ва, о. Гавайи; США
Мау́нг| Ботсвана, см. Мау́н
Мау́нг| Кампучия, см. Мо́унг
Маундо́| Бирма, адм. обл. Ракхайн (Аракан)
Ма́унт-А́йза| Австралия, шт. Квинсленд
Ма́унт-Ба́рнетт| Австралия, шт. Западная Австралия
Ма́унт-Ве́рнон| Австралия, шт. Западная Австралия
Ма́унт-Ве́рнон| США, шт. Нью-Йорк
Ма́унт-Га́мбир| Австралия, шт. Южная Австралия
Ма́унт-Га́рнет| Австралия, шт. Квинсленд
Ма́унт-Да́рвин| Зимбабве
Ма́унт-И́ба| Австралия, шт. Южная Австралия
Ма́унтин-Ви́ллидж| США, шт. Аляска
Ма́унтин-Парк| Канада, пров. Альберта
Ма́унт-Лави́ния| Шри-Ланка
Ма́унт-Ло́фти| хр., Австралия
Ма́унт-Ма́гнет| Австралия, шт. Западная Австралия
Ма́унт-Мак-Ки́нли| нац. парк, США, шт. Аляска
Ма́унт-Мо́рган| Австралия, шт. Квинсленд
Ма́унтс| зал., Атлантический океан, юго-зап. побережье п-ова Корнуолл; Великобритания
Ма́унтс-Бей| зал., Великобритания, см. Ма́унтс, зал.
Ма́унт-Фрир| ЮАР, Капская пров.
Ма́унт-Ха́ген| Папуа-Новая Гвинея, о. Новая Гвинея
Ма́унт-Хо́лли| США, шт. Северная Каролина
Маунтша́ннон| Ирландия, граф. Клэр
Ма́унт-Э́йлифф| ЮАР, Капская пров.
Ма́утерндорф| Австрия, земля Зальцбург
Мауэ́с| Бразилия, шт. Амазонас
Ма́фекинг| ЮАР, см. Ма́фикенг
Ма́фетенг| Лесото
Ма́фикенг| ЮАР, Капская пров.
Мафи́я| о., Индийский океан, у вост. побережья Африки; Танзания
Ма́фрак| Иордания, см. Эль-Ма́фрак
Маха́бу| Мадагаскар
Махабха́рат| хр., Непал
Махаве́ли| р., впадает в бух. Коддияр Индийского океана; Шри-Ланка
Махаве́луна| Мадагаскар
Маха́ги-Порт| Заир
Махадза́мба| бух., зап. побережье о. Мадагаскар; Мадагаскар
Махадза́нга| Мадагаскар
Маха́кам| р., впадает в Макасарский прол., о. Калимантан; Индонезия
Махала́пье| Ботсвана
Махала́цве| Ботсвана, см. Махала́пье
Махаму́ни| Бирма, нац. обл. Ракхайн (Аракан)
Маха́н| Иран, остан Керман
Махана́ди| р., впадает в Бенгальский зал. Индийского океана; Индия
Махара́штра| шт., Индия
Маха́саракха́м| Таиланд
Махбубна́гар| Индия, шт. Андхра-Прадеш
Махди́я| Тунис, адм. центр вилайета Махдия
Махди́я| вилайет, Тунис
Махе́нге| Танзания
Ма́херафелт| Великобритания, см. Ма́рафелт
Ма́хи| Индия, союзная тер. Путтуччери
Ма́хи| р., впадает в Камбейский зал. Аравийского моря; Индия
Ма́хиа| Новая Зеландия, о. Северный
Махму́драки| Афганистан, адм. центр пров. Каписа
Махо́ба| Индия, шт. Уттар-Прадеш
Махо́ре| о., Коморские о-ва, см. Майо́тта, о.
Махриха́ниш| Великобритания, Шотландия, обл. Стратклайд
Маца́нг| р., Китай, см. Брахмапу́тра, р.
Мацзяоба́| Китай, пров. Сычуань
Ма́цоха| провал, Чехословакия
Мацудза́ка| Япония, см. Мацуса́ка
Мацу́до| Япония, преф. Тиба, о. Хонсю
Мацума́э| Япония, окр. Осима, о. Хоккайдо
Мацумо́то| Япония, преф. Нагано, о. Хонсю
Мацуса́ка| Япония, преф. Миэ, о. Хонсю
Мацуэ́| Япония, адм. центр преф. Симане, о. Хонсю
Мацуя́ма| Япония, адм. центр преф. Эхиме, о. Сикоку
Мача́ла| Эквадор, адм. центр пров. Эль-Оро
Ма́чан| о-ва, Индонезия, см. Та́ка-Бо́не-Ро́те (Ма́чан), о-ва
Мачера́та| Италия, обл. Марке
Мачилипа́тнам| Индия, см. Мачхалипа́ттанам
Мачича́ко| м., сев. побережье Пиренейского п-ова; Испания
Ма́чкатица| Югославия, Социалистическая Республика Сербия
Ма́чу-Пи́кчу| разв., Перу, деп. Куско
Мач-Уэ́нлок| Великобритания, Англия, граф. Шропшир
Мачхалипа́ттанам| Индия, шт. Андхра-Прадеш
Мачхоллё́н (Пэктуса́н)| хр., КНДР
Мачэ́н| Китай, пров. Хубэй
Маша́ду| р., Бразилия, см. Жипарана́, р.
Маша́нь| Китай, Гуанси-Чжуанский авт. р-н
Маше́во| Польша, Щецинское воев.
Машо́винг| р., прав. приток р. Куруман; ЮАР
Машора́й| Афганистан, см. Вазахва́
Машха́д| Афганистан, пров. Бадахшан
Маэ́| о., Индийский океан, Сейшельские о-ва; гос-во Сейшельские Острова
Маэба́ру| Япония, преф. Фукуока, о. Кюсю
Маэба́си| Япония, адм. центр преф. Гумма, о. Хонсю
Маэватана́на| Мадагаскар
Маэ́во| о., Тихий океан, о-ва Новые Гебриды; Вануату
Маэрка́н| Китай, см. Барка́м
Маэ́сту| Испания, пров. Алава
Ма́ю| о., Атлантический океан, о-ва Зелёного Мыса; Кабо-Верде
Ма́юм| пер., Китай, см. Маю́м-Ла, пер.
Маю́мба| Габон
Маю́м-Ла| пер., выс. 5151 м; горн. сист. Гангдисе; Китай
Ма́я| о., Южно-Китайское море, у зап. побережья о. Калимантан; Индонезия
Маягуа́на| о., Атлантический океан, Багамские о-ва; гос-во Багамские Острова
Маягуэ́с| Большие Антильские о-ва, о. Пуэрто-Рико
Мая́ма| Конго
Мба| о-ва Фиджи, о. Вити-Леву
Мбаба́не| столица Свазиленда
Мбаи́ки| ЦАР
Мба́ла| Замбия
Мбалма́йо| Камерун, см. Мбальма́йо
Мбальма́йо| Камерун
Мба́мба-Бей| Танзания
Мбанда́ка| Заир, адм. центр Экваториальной обл.
Мба́нза-Нгу́нгу| Заир
Мба́о| Заир
Мбара́ра| Уганда
Мба́ри| р., прав. приток р. Мбому; ЦАР
Мбе́ре| р. (на тер. Чада — За́падный Лого́н), сливаясь с р. Восточный Логон, образует р. Логон; Камерун
Мбере́нгва| Зимбабве
Мбе́я| Танзания
Мбо́му| р., сливаясь с р. Уэле, образует р. Убанги; на границе Заира и ЦАР
Мбо́рья| Албания
Мбу́жи-Ма́йи| Заир, адм. центр обл. Восточное Касаи
Мбур| Сенегал
Мбурукуя́| Аргентина, пров. Корриентес
Мбут| Мавритания
Мва́ди| Габон
Мва́ли| о., Коморские о-ва, см. Мохе́ли, о.
Мва́нза| Заир
Мва́нза| Танзания
Мва́я| Танзания
Мве́ка| Заир
Мве́ру| оз., на границе Заира и Замбии
Мви́ла| Габон, см. Муи́ла
Мвинилу́нга| Замбия
Мво́ло| Судан
Мву́ти| Конго
Мди́на| Мальта, о. Мальта
Ме| о., зал. Бакбо (Тонкинский) Южно-Китайского моря, у вост. побережья Вьетнама
Меака́н| влк., выс. 1503 м, о. Хоккайдо; Япония
Меалья́да| Португалия, пров. Бейра-Литорал
Меари́н| р., впадает в бух. Сан-Маркус Атлантического океана; Бразилия
Ме́га| Эфиопия, пров. Сидамо
Мега́ли-Ди́лос| о., Греция, см. Рини́я, о.
Мегало́полис| Греция, ном Аркадия
Мега́нтик| Канада, см. Лак-Меганти́к
Ме́гара| Греция, ном Аттика
Меге́с| Иран, см. Заболи́
Мегхала́я| шт., Индия
Ме́гхна| р., вост. рукав общей дельты рек Ганг и Брахмапутра; Бангладеш
Ме́да| Португалия, пров. Бейра-Алта
Меда́н| Индонезия, адм. центр пров. Северная Суматра, о. Суматра
Медано́са| м., Аргентина, см. Пу́нта-Медано́са, м.
Медва́р| г., выс. 3601 м, хр. Кухруд; Иран
Ме́две| оз., Польша, Щецинское воев.
Медве́жий| о., Баренцево море, к югу от о-вов Шпицберген; Норвегия
Медеа́| Алжир, адм. центр вилайета Медеа
Медеа́| вилайет, Алжир
Медедси́з| г., выс. 3585 м, горы Центральный Тавр; Турция
Медельи́н| Колумбия, адм. центр деп. Антьокия
Ме́дельпад| ист. обл., Швеция
Ме́демблик| Нидерланды, пров. Северная Голландия
Медени́н| Тунис, адм. центр вилайета Меденин
Медени́н| вилайет, Тунис
Ме́ден-Ру́дник| Болгария, Бургасский окр.
Медже́з-эль-Баб| Тунис
Медже́рда| горы, Алжир и Тунис
Медже́рда| р., впадает в Тунисский зал. Средиземного моря; Алжир и Тунис
Меджи́дия| Румыния, уезд Констанца
Ме́дзев| Чехословакия, Восточно-Словацкая обл.
Ме́дзила́борце| Чехословакия, Восточно-Словацкая обл.
Медиа́ш| Румыния, уезд Сибиу
Меди́на| Саудовская Аравия
Меди́на-дель-Ка́мпо| Испания, пров. Вальядолид
Меди́на-де-Пома́р| Испания, пров. Бургос
Меди́на-де-Риосе́ко| Испания, пров. Вальядолид
Мединасе́ли| Испания, пров. Сория
Меди́на-Сидо́ния| Испания, пров. Кадис
Ме́дисин-Хат| Канада, пров. Альберта
Медко́вец| Болгария, Михайловградский окр.
Мё́длинг| Австрия, земля Нижняя Австрия
Ме́дна| Югославия, Социалистическая Республика Босния и Герцеговина
Медо́к| географ. обл., Франция
Ме́доу-Лейк| Канада, пров. Саскачеван
Медува́ра| о-ва, Ливия, см. Эль-Мудава́ра, о-ва
Ме́дуэй| р., прав. приток р. Темза; Великобритания
Ме́дфорд| США, шт. Массачусетс
Ме́дфорд| США, шт. Орегон
Междуре́чье| географ. обл., Аргентина
Ме́жица| Югославия, Социалистическая Республика Словения
Мез| Франция, деп. Эро
Мёз| деп., Франция
Мёз| р. (на тер. Бельгии и Нидерландов — Маа́с), впадает в дельту р. Рейн; Франция
Меза́| р., прав. приток р. Иравади; Бирма
Меза́нье| Италия, обл. Апулия
Ме́здра| Болгария, Врацкий окр.
Ме́зёберень| Венгрия, медье Бекеш
Ме́зёкёвешд| Венгрия, медье Боршод-Абауй-Земплен
Ме́зёке́рестеш| Венгрия, медье Боршод-Абауй-Земплен
Ме́зёковачха́за| Венгрия, медье Бекеш
Мезе́нк| г., выс. 1754 м, горы Севенны; Франция
Ме́зётур| Венгрия, медье Сольнок
Ме́зёхедьеш| Венгрия, медье Бекеш
Ме́зёчат| Венгрия, медье Боршод-Абауй-Земплен
Ме́зима| р., впадает в зал. Джоя Тирренского моря; Италия
Мезо́кко| Швейцария, кантон Граубюнден
Мезо́н-Карре́| Алжир, см. Эль-Харра́ш
Мезье́р| Франция, см. Мезье́р-сюр-Исуа́р
Мезье́р-сюр-Исуа́р| Франция, деп. Верхняя Вьенна
Мейбл-Си́дли| г., Антарктида, см. Си́дли, г.
Ме́йблторп| Великобритания, Англия, граф. Линкольншир
Ме́йбол| Великобритания, Шотландия, обл. Стратклайд
Ме́йгог| Канада, пров. Квебек
Мейда́не-Нефту́н| Иран, остан Хузестан
Ме́йдани| м., южн. побережье Ирана
Ме́йдстон| Великобритания, Англия, адм. центр граф. Кент
Мейи́сти (Кастело́ризон)| о., Средиземное море, у юго-зап. побережья Турции; Греция
Ме́йкон| США, шт. Джорджия
Ме́йкут| Венгрия, медье Бач-Кишкун
Мейме́| Иран, остан Мазендеран
Меймене́| Афганистан, адм. центр пров. Фарьяб
Мейн| р., впадает в оз. Лох-Ней; Великобритания, Северная Ирландия
Ме́йнленд| о., Атлантический океан, Шетландские о-ва; Великобритания
Ме́йнленд (Помо́на)| о., Атлантический океан, Оркнейские о-ва; Великобритания
Ме́йо| Канада, тер. Юкон
Ме́йо| горы, Ирландия
Ме́йо| граф., Ирландия
Мей-Пен| Ямайка
Мейса́н| мухафаза, Ирак, см. Майса́н, мухафаза
Ме́йсвилл| США, шт. Кентукки
Ме́йска-Гу́рка| Польша, Лещиньское воев.
Ме́йсон-Си́ти| США, шт. Айова
Ме́йтленд| Австралия, шт. Новый Южный Уэльс
Мейтхила́| Бирма, адм. обл. Мандалай
Мека́мбо| Габон
Мекати́на| Канада, пров. Онтарио
Мекине́нса| Испания, пров. Сарагоса
Мекине́нса| вдхр., на р. Эбро; Испания, пров. Сарагоса и Уэска
Ме́кка| Саудовская Аравия, адм. центр пров. Хиджаз
Ме́кленбург| ист. обл., ГДР
Мекленбу́ргская бу́хта| Балтийское море; побережье ГДР и ФРГ
Мекло́нг| р., Таиланд, см. Мэкхло́нг, р.
Мекне́с| Марокко, адм. центр пров. Мекнес
Мекне́с| пров., Марокко
Меко́нг| р. (тиб. — Дза-Чу, кит. — Ланьцанцзя́н), впадает рукавами в Южно-Китайское море; Китай, Бирма, Таиланд, Лаос, Кампучия и Вьетнам
Меко́нга| г., выс. 2799 м, о. Сулавеси; Индонезия
Меко́нта| Мозамбик
Меко́рьюк| США, шт. Аляска
Мекра́н| горы, Иран и Пакистан
Мекра́н| ист. обл., Иран и Пакистан
Ме́кру| р., прав. приток р. Нигер; Бенин
Ме́ксика| Мексика́нские Соединённые Шта́ты, гос-во, Северная Америка
Мексика́нский зали́в| часть Атлантического океана
Мексика́нское наго́рье| Мексика
Мел| Норвегия, фюльке Телемарк
Мёла́бох| Индонезия, особая обл. Ачех, о. Суматра
Мелайе́р| Иран, остан Хамадан
Мела́лап| Малайзия, шт. Сабах, о. Калимантан
Мелане́зия| общее назв. группы о-вов в юго-зап. части Тихого океана
Ме́ларен| оз., Швеция, лены Вестманланд, Сёдерманланд, Стокгольм, Уппсала
Ме́лвилл| Канада, пров. Саскачеван
Ме́лвилл| зал., море Баффина, сев.-зап. побережье о. Гренландия
Ме́лвилл| м., сев.-вост. побережье Австралии
Ме́лвилл| о., Тиморское море, у сев. побережья Австралии
Ме́лвилл| о., Канадский Арктический арх.; Канада
Ме́лвилл| оз., Канада, пров. Ньюфаундленд
Ме́лвилл| п-ов, сев. побережье Канады
Мелга́су| Португалия, пров. Минью
Меле́| Франция, см. Меле́-дю-Мен
Меле́-дю-Мен| Франция, деп. Майен
Мелё́н| Франция, адм. центр деп. Сена и Марна
Меленья́но| Италия, обл. Ломбардия
Ме́лец| Польша, Жешовское воев.
Мелигала́| Греция, ном Месиния
Мели́диш| Португалия, пров. Байшу-Алентежу
Мели́кия| Греция, ном Керкира, о. Керкира
Мели́лья| влад. Испании на тер. Марокко
Мелине́шти| Румыния, уезд Долж
Ме́лито-ди-По́рто-Са́льво| Италия, обл. Калабрия
Ме́лла| р., лев. приток р. Ольо; Италия
Мелла́ль| Марокко, см. Бе́ни-Мелла́ль
Ме́ллеруд| Швеция, лен Эльвсборг
Мелли́т| Судан
Мёлль| р., лев. приток р. Драва; Австрия
Ме́лник| Болгария, Благоевградский окр.
Ме́ло| Уругвай, адм. центр деп. Серро-Ларго
Ме́лтон-Мо́убрей| Великобритания, Англия, граф. Лестершир
Мелупре́й| Кампучия, см. Молупре́й
Мель| Франция, деп. Дё-Севр
Ме́льбурн| Австралия, адм. центр шт. Виктория
Мельга́р-де-Фернамента́ль| Испания, пров. Бургос
Мельги́р| сол. оз., Алжир
Ме́льзунген| ФРГ, земля Гессен
Мельи́д| Испания, пров. Ла-Корунья
Мельк| Австрия, земля Нижняя Австрия
Мёльн| ФРГ, земля Шлезвиг-Гольштейн
Мё́льндаль| Швеция, лен Гётеборг-Бохус
Ме́льник| Чехословакия, Среднечешская обл.
Ме́льно| Польша, Кошалинское воев.
Мельс| Швейцария, кантон Санкт-Галлен
Ме́льфи| Италия, обл. Базиликата
Ме́льфи| Чад
Мельч| Чехословакия, Северо-Моравская обл.
Мемали́ай| Албания
Ме́мба| Мозамбик
Ме́мбидж| Сирия
Мембо́ро| Индонезия, пров. Восточная Нуса-Тенгара, о. Сумба
Мё́мминген| ФРГ, земля Бавария
Ме́мфис| США, шт. Теннесси
Мемьо́| Бирма, адм. обл. Мандалай
Мен| ист. обл., Франция
Мён| о., Балтийское море, у юго-вост. побережья о. Зеландия; Дания
Мен| р., прав. приток р. Луара; Франция
Мена́ка| Мали
Ме́налон| г., выс. 1980 м, п-ов Пелопоннес; Греция
Мена́м| р., Таиланд, см. Чаупхра́я (Мена́м), р.
Менангала́ку| Индонезия, пров. Восточная Нуса-Тенгара, о. Сумба
Ме́на-эль-Ахмади́| Кувейт, см. Ми́на-эль-Ахмади́
Ме́нбидж| Сирия, см. Ме́мбидж
Менва́рар| Алжир
Менга́ла| Индонезия, пров. Лампунг, о. Суматра
Мёнга́н| КНДР, пров. Хамгён-Пукто
Мёнгкё́нг| Бирма, нац. обл. Шан
Мёнгла́н| Бирма, нац. обл. Шан
Мёнгна́й| Бирма, см. Моне́ (Мёнгна́й)
Мёнгно́н| Бирма, нац. обл. Шан
Мёнгпа́н| Бирма, нац. обл. Шан
Мёнгсха́| Бирма, нац. обл. Шан
Мёнгхобу́н| Бирма, см. Мёнгхопу́н
Мёнгхопу́н| Бирма, нац. обл. Шан
Мёнгшу́| Бирма, нац. обл. Шан
Мёнгъя́й| Бирма, нац. обл. Шан
Мёнгъя́н| Бирма, нац. обл. Шан
Менда́вай| Индонезия, пров. Восточный Калимантан, о. Калимантан
Мендава́й (Кати́нган)| р., впадает в Яванское море, о. Калимантан; Индонезия
Менджи́ль| Иран, остан Гилян
Мендзы́жеч| Польша, Гожовское воев.
Мендзы́жец-Подля́ски| Польша, Бяльскоподляское воев.
Мендзы́худ| Польша, Гожовское воев.
Мендо́нг-Го́мпа| Китай, см. Мэндо́нг
Мендо́са| Аргентина, адм. центр пров. Мендоса
Мендо́са| пров., Аргентина
Мендоси́но| м., зап. побережье США
Менеме́н| Турция, иль Измир
Ме́нен| Бельгия, пров. Западная Фландрия
Менерви́ль| Алжир, см. Тени́я
Ме́нза| р., лев. приток р. Чикой; Монголия и СССР
Мензе́ль-Бурги́ба| Тунис
Ме́нзис| Австралия, шт. Западная Австралия
Мен и Луа́ра| деп., Франция
Мёнкё́нг| Бирма, см. Мёнгкё́нг
Менкье́| рифы, прол. Ла-Манш; Франция
Мено́мини| США, шт. Мичиган
Мено́мини| р., впадает в зал. Грин-Бей оз. Мичиган; США
Мено́нге| Ангола
Мено́рка| о., Средиземное море, Балеарские о-ва; Испания
Ментава́й| о-ва, Индийский океан, у зап. побережья о. Суматра; Индонезия
Ментава́й| прол., между о. Суматра и о-вами Ментавай; Индонезия
Менто́на| Франция, деп. Приморские Альпы
Менуджа́н| Иран, остан Хормозган
Мё́нхенгла́дбах| ФРГ, земля Северный Рейн-Вестфалия
Мёнчхо́н| КНДР, пров. Хамгён-Пукто
Ме́ншикова| ат., Маршалловы о-ва, см. Ква́джалейн (Ме́ншикова), ат.
Ме́ппел| Нидерланды, пров. Дренте
Ме́ппен| ФРГ, земля Нижняя Саксония
Мер| Франция, деп. Луар и Шер
Ме́ра| р., впадает в оз. Комо; Швейцария и Италия
Мерабе́лон| зал., Эгейское море, сев.-вост. побережье о. Крит; Греция
Мераге́| Иран, остан Западный Азербайджан
Мера́к| Индонезия, пров. Западная Ява, о. Ява
Мерамбе́ллу| зал., Греция, см. Мерабе́лон, зал.
Мера́но| Италия, обл. Трентино-Альто-Адидже
Мера́тус| хр., о. Калимантан; Индонезия
Ме́ратх| Индия, шт. Уттар-Прадеш
Мерау́ке| Индонезия, пров. Ириан-Джая, о. Новая Гвинея
Ме́рвевилл| ЮАР, Капская пров.
Мерго́ццо| Италия, обл. Пьемонт
Мергуи́| нп и арх., Бирма, см. Мьей (Мергуи́), нп и арх.
Мердени́к| Турция, см. Гёле́
Мерджа́н| хр., Турция
Мере́г| Сомали, см. Маре́г, к.
Мере́нд| Иран, остан Восточный Азербайджан
Мё́ре-ог-Ро́мсдал| фюльке, Норвегия
Ме́рзебург| ГДР, окр. Галле
Мерзифо́н| Турция, иль Амасья
Мерива́н| Иран, остан Курдистан
Ме́рида| Венесуэла, адм. центр шт. Мерида
Ме́рида| Испания, пров. Бадахос
Ме́рида| Мексика, адм. центр шт. Юкатан
Ме́рида| шт., Венесуэла
Ме́риден| США, шт. Коннектикут
Мери́диан| США, шт. Миссисипи
Ме́ринг| ФРГ, земля Бавария
Мери́р| о., Тихий океан, Каролинские о-ва; опека США
Меричле́ри| Болгария, Хасковский окр.
Ме́рка| Сомали, см. Ма́рка
Мерквилле́р-Пешельбро́н| Франция, деп. Нижний Рейн
Мерке́т| Китай, Синьцзян-Уйгурский авт. р-н
Ме́рксем| Бельгия, пров. Антверпен
Мерку́ря-Чук| Румыния, см. Мьерку́ря-Чук
Ме́рокер| Норвегия, фюльке Нур-Трёнделаг
Меро́э| Судан
Ме́рредин| Австралия, шт. Западная Австралия
Ме́ррик| г., выс. 844 м, Южно-Шотландская возв.; Великобритания
Ме́рримак| р., впадает в Атлантический океан; США
Ме́рса-Матру́х| Египет, адм. центр мухафазы Матрух
Ме́рса-Фа́тма| Эфиопия, см. Мэ́рса-Фа́тма
Мерсе́д| США, шт. Калифорния
Мерседа́рио| г., выс. 6770 м, горн. сист. Анды; Аргентина
Мерсе́дес| Аргентина, пров. Буэнос-Айрес
Мерсе́дес| Аргентина, пров. Корриентес
Мерсе́дес| Аргентина, пров. Сан-Луис
Мерсе́дес| США, шт. Техас
Мерсе́дес| Уругвай, адм. центр деп. Сорьяно
Ме́рси| м., вост. побережье о. Баффинова Земля; Канада
Ме́рси| р., впадает в Ливерпульский зал. Ирландского моря; Великобритания
Мерси́н| Турция, адм. центр иля Ичель
Мерси́нг| Малайзия, шт. Джохор
Мерси́нский зали́в| Средиземное море, южн. побережье Турции
Ме́рсисайд| метроп. граф., Великобритания, Англия
Мё́ртвое мо́ре| ниже уровня моря на 395 м; Иордания и Израиль
Мёрт и Мозе́ль| деп., Франция
Ме́ртир-Ти́двил| Великобритания, Уэльс, граф. Мид-Гламорган
Мертл-Пойнт| США, шт. Орегон
Ме́ртола| Португалия, пров. Байшу-Алентежу
Ме́ртон| Великобритания, Англия, метроп. граф. Большой Лондон
Ме́ру| г., выс. 4567 м; Танзания
Меруи́ллумба| Австралия, шт. Новый Южный Уэльс
Ме́рфрисборо| США, шт. Теннесси
Ме́рца| ледн., берег Георга V; Антарктида
Ме́рциг| ФРГ, земля Саар
Ме́рчисон| вдп., Малави, см. Ли́вингстон, вдп.
Ме́рчисон| вдп., Уганда, см. Кабаре́га, вдп.
Ме́рчисон| р., впадает в Индийский океан; Австралия
Мерюэ́с| Франция, деп. Лозер
Меса́| Индонезия, пров. Малуку, о. Хальмахера
Ме́са| США, шт. Аризона
Меса́би| хр., США
Меса́ло| р., впадает в Индийский океан; Мозамбик
Месара́| зал., Средиземное море, южн. побережье о. Крит; Греция
Месдже́де-Солейма́н| Иран, остан Хузестан
Месе́| Франция, деп. Пюи-де-Дом
Месе́та| плскг., Испания
Меси́ни| Греция, ном Месиния
Месиниако́с| зал., Ионическое море, южн. побережье п-ова Пелопоннес; Греция
Месини́я| ном, Греция, обл. Пелопоннес
Меска́ла| р., Мексика, см. Ба́льсас, р.
Ме́скена| Сирия
Ме́скирх| ФРГ, земля Баден-Вюртемберг
Месми́я| Сирия
Месоло́нгион| Греция, адм. центр нома Этолия и Акарнания
Месопота́мия| географ. обл., Аргентина, см. Междуре́чье, географ. обл.
Месопота́мия| ист. обл., Турция, Сирия, Ирак и Иран
Месопота́мская ни́зменность| Ирак и Иран
Месо́т| Таиланд, см. Мэсо́т
Месра́ль| Франция, деп. Верхний Рейн
Месси́на| Италия, обл. Сицилия
Месси́на| ЮАР, пров. Трансвааль
